Wavelength [A],flux [erg/cm^2/s/A]
93.0,181.75262655693254
94.0,242.11046694642678
95.0,63.760614979778396
96.0,572.750691998268
97.0,84.94487049409632
98.0,204.90525039709044
99.0,74.31149308948955
100.0,181.2365753006604
101.0,222.81036106645547
102.0,157.42636717467315
103.0,186.30193611658683
104.0,75.73275055815485
105.0,63.5670461059989
106.0,94.36035500977572
107.0,20.798047173206868
108.0,250.83353597590312
109.0,32.085538997887404
110.0,27.298302820446242
111.0,46.89257057962539
112.0,181.0054769495392
113.0,84.65767094353244
114.0,313.5511423426416
115.0,78.1723835050804
116.0,111.3588456182832
117.0,122.23542310626453
118.0,149.9656498912441
119.0,213.15175997558825
120.0,56.8432717866167
121.0,56.04421552324902
122.0,39.85882688078448
123.0,27.33212900320818
124.0,32.41584251741561
125.0,23.689664980862013
126.0,19.053158437566115
127.0,14.86101756744254
128.0,27.100952079753423
129.0,13.376434062859571
130.0,41.52980002086806
131.0,432.27124960047166
132.0,43.85532840712261
133.0,17.777821742826987
134.0,112.42497838754728
135.0,28.23186052190452
136.0,16.41339169879178
137.0,41.13221901213317
138.0,42.7981363566602
139.0,17.836778005581706
140.0,78.92912442444809
141.0,41.95328637897603
142.0,29.52249774640578
143.0,66.10016703601863
144.0,60.78883860719724
145.0,20.159789645399385
146.0,30.75330986055614
147.0,51.79174440209993
148.0,82.83648275611476
149.0,15.345057591531415
150.0,166.9421519875855
151.0,111.96916268198727
152.0,172.1401793637314
153.0,50.046345685232524
154.0,111.9149069111103
155.0,70.02733321790271
156.0,72.15733102344544
157.0,35.10125749832279
158.0,54.717758364194665
159.0,121.7384126816181
160.0,47.21977714640936
161.0,28.78808117448393
162.0,48.637572743998504
163.0,47.28275449631116
164.0,153.23589007540596
165.0,123.1434610702769
166.0,257.3176356769006
167.0,104.68973817368362
168.0,1887.1834473107406
169.0,791.1498295332632
170.0,171.51107832621884
171.0,9106.954684693877
172.0,176.45282600851826
173.0,359.00965761308703
174.0,779.6542369882702
175.0,917.6242984740366
176.0,121.73960461042884
177.0,1899.769965327166
178.0,418.8221272843526
179.0,232.1228535535277
180.0,919.3024217113442
181.0,523.9782799980973
182.0,834.9752762760116
183.0,154.89779627288164
184.0,303.99357020776637
185.0,1376.090222386094
186.0,113.85903541766737
187.0,1507.9748891944837
188.0,1310.978476911716
189.0,662.4178388564314
190.0,865.0445651132484
191.0,293.2428174497356
192.0,418.06654355325253
193.0,631.1688870845388
194.0,197.94031593234732
195.0,1751.8072676546135
196.0,530.2878491789924
197.0,296.6766532082013
198.0,184.87857087060934
199.0,136.6289560928748
200.0,265.98818683146715
201.0,375.8390799575232
202.0,449.58763524537045
203.0,154.40480479867563
204.0,784.7714139293869
205.0,151.48804523260992
206.0,166.74100244836978
207.0,182.59483569149543
208.0,216.5243031838434
209.0,129.7133593685338
210.0,169.92290628447998
211.0,143.15601142951274
212.0,132.65131766002347
213.0,46.31413235914076
214.0,128.83129669937352
215.0,267.22488505433876
216.0,55.42278684625331
217.0,1065.338260793843
218.0,286.45954723066956
219.0,423.96805712884833
220.0,347.66329301341625
221.0,120.66925764324537
222.0,282.00994747380884
223.0,184.84384656779687
224.0,189.73091418944372
225.0,640.4976378314312
226.0,117.3221754306111
227.0,837.4923690252389
228.0,182.01290830503692
229.0,92.00597376823907
230.0,29.25143383671221
231.0,455.1841620213922
232.0,304.48389876885386
233.0,290.1212244227413
234.0,218.7682713105429
235.0,170.66964772910399
236.0,62.59826542515192
237.0,184.3417326788546
238.0,137.93228154039633
239.0,184.04838342447258
240.0,251.15569870799166
241.0,276.58383301481604
242.0,420.6017641675312
243.0,226.19912095170056
